"제목","입력날짜","수정날짜","사용여부","게시물번호(pk)","상세정보링크"
"test중입니다.","2020-09-23 14:47:00.0","","Y","2282","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=2282"
"[양천] 녹색환경센타 견학을 하고..","2015-08-19 12:24:32.0","","Y","1881","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1881"
"양천자원회수시설 녹색환경교육센타를 다녀와서","2014-05-20 17:21:33.0","","Y","1781","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1781"
"정말 유익하고 즐거웠던 체험학습이었어요","2013-12-27 13:37:32.0","2018-06-07 13:13:36.0","Y","1721","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1721"
"강남자원회수시설에 대해서 ","2012-08-28 11:07:28.0","","Y","1681","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1681"
"안녕하세요 충주대학교 ^^*","2011-11-30 10:55:55.0","2011-11-30 10:56:12.0","Y","1661","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1661"
"강남자원회수시설 ","2011-11-14 23:17:30.0","2011-11-14 23:18:50.0","Y","1641","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1641"
"정말 고마웠어요","2011-11-07 20:42:27.0","","Y","1621","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1621"
"강남자원회수시설에 다녀와서","2011-07-14 17:29:46.0","","Y","1601","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1601"
" '강남자원회수시설' 견학 즐겁고 유익한 시간이었습니다.","2011-01-18 17:43:37.0","2011-01-18 17:44:56.0","Y","1561","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1561"
"마포자원회수시설에 다녀와서 (10/22t서울등서초)","2010-10-25 21:11:17.0","2010-10-25 21:12:59.0","Y","1541","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1541"
"양천자원회수시설 견학(한가람고)","2010-09-16 23:42:16.0","2010-09-16 23:43:23.0","Y","1501","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1501"
"감사합니다.","2010-08-01 17:46:54.0","","Y","1481","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1481"
"특별했던 체험 학습","2010-05-19 21:56:14.0","2010-05-19 21:58:24.0","Y","1461","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1461"
"양천자원회수시설을 다녀와서....","2010-05-19 15:48:55.0","","Y","1441","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1441"
"성사중3","2009-06-16 17:09:40.0","","Y","1401","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1401"
"노원 자원회수시설 견학기","2008-12-23 09:10:08.0","2009-01-09 10:51:36.0","Y","1381","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1381"
"자원회수시설을 다녀와서","2008-09-07 19:51:42.0","","Y","1301","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1301"
"양천자원회수시설 견학후기","2008-08-31 19:58:58.0","2008-08-31 19:59:36.0","Y","1282","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1282"
"목동 자원 회수 시설을 다녀와서","2008-08-31 19:36:48.0","","Y","1281","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1281"
"[양천]자원회수시설을 다녀와서","2008-08-31 11:12:16.0","","Y","1261","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1261"
"자원회수시설을 갔다와서 ~(목동고)","2008-08-29 17:16:57.0","","Y","1242","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1242"
"양천 자원회수시설 방문후 느낀점","2008-08-29 16:33:58.0","2008-08-29 16:34:28.0","Y","1241","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1241"
"양천자원회수시설을 다녀와서","2008-08-28 22:26:19.0","","Y","1221","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1221"
"노원 자원회수시설을 다녀와서","2008-08-18 16:21:02.0","","Y","1201","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1201"
"양천자원회수시설 견학후기","2008-07-29 18:28:19.0","","Y","1181","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1181"
"(서울정심초등학교) 재활용, 쓰레기 분리 수거의 중요성을 느끼며","2008-07-11 11:54:10.0","","Y","1141","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1141"
"자원 회수시설을 다녀와서","2008-07-02 10:45:33.0","2008-07-03 14:58:31.0","Y","1121","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1121"
"양천자원회수시설을 다녀와서","2008-07-01 15:11:00.0","","Y","1101","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1101"
"자원순환테마전시관 체험후기....","2008-01-26 00:37:21.0","","Y","1081","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1081"
"준혁이의 에코스쿨 ","2008-01-21 23:26:40.0","2008-01-22 09:10:22.0","Y","1041","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1041"
"상암동 시설  견학다녀와서","2008-01-15 18:33:10.0","","Y","1021","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1021"
"자원순환테마전시관을 다녀와서.....","2007-10-11 12:43:08.0","2007-10-11 12:44:27.0","Y","1001","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=1001"
"[노원]활동후기","2007-06-06 22:07:15.0","2007-06-06 22:07:34.0","Y","921","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=921"
"견학 후기 입니다.","2007-06-05 23:04:42.0","","Y","901","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=901"
"마포자원회수시설을 다녀와서","2007-05-23 17:31:01.0","","Y","881","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=881"
"환경오염이 싫다구요?","2007-04-10 16:18:44.0","","Y","841","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=841"
"어른에게 더 필요한 견학입니다.","2007-04-09 01:04:42.0","2007-04-09 01:05:57.0","Y","821","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=821"
"4월7일CA견학후기","2007-04-07 22:12:43.0","","Y","801","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=801"
"4월 7일 CA견학후기(사당중 <환경 과학부>)","2007-04-07 18:29:55.0","2007-04-08 21:40:37.0","Y","781","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=781"
"늦게 나마 체험 후기를 적습니다..(에코스쿨)","2007-02-01 15:06:03.0","2007-02-01 15:06:16.0","Y","761","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=761"
"세심한 배려와 친절함에 감사드립니다(에코스쿨)","2007-01-29 10:00:07.0","2007-01-29 10:00:37.0","Y","745","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=745"
"고맙고 유익한 환경체험이었어요(에코스쿨)","2007-01-29 09:59:19.0","2007-01-29 10:01:12.0","Y","744","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=744"
"에코스쿨 체험후기","2007-01-29 09:58:24.0","2007-01-29 09:58:42.0","Y","743","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=743"
"겨울방학-에코스쿨을 다녀와서..","2007-01-29 09:56:36.0","2007-01-29 09:56:47.0","Y","742","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=742"
"유익한시간~(에코스쿨)","2007-01-29 09:54:56.0","2007-01-29 09:55:13.0","Y","741","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=741"
"어른도 신기한 쓰레기 이야기(에코스쿨)","2007-01-25 11:16:38.0","2007-01-25 11:17:05.0","Y","721","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=721"
"유익한 체험이었습니다(에코스쿨)","2007-01-23 14:38:03.0","2007-01-23 14:40:22.0","Y","701","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=701"
"함지박사랑이들","2007-01-22 14:25:41.0","2007-01-25 15:24:51.0","Y","682","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=682"
"다녀온 후...(에코스쿨)","2007-01-22 14:24:49.0","2007-01-22 14:25:00.0","Y","681","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=681"
"오늘 마포자원회수시설을 다녀온....(...)...","2006-12-08 13:07:58.0","2006-12-08 13:12:24.0","Y","661","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=661"
