"제목","입력날짜","수정날짜","사용여부","게시물번호(pk)","상세정보링크"
"코를 막고.........","2006-12-02 00:30:50.0","","Y","621","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=621"
"우리도 함께 웃습니다~!!","2006-11-23 11:03:10.0","","Y","601","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=601"
"마포자원회수시설","2006-11-22 22:19:38.0","","Y","582","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=582"
"친절한 설명 감사했습니다~~","2006-11-22 20:36:58.0","","Y","581","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=581"
"마포 자원회수시설에 갔다와서","2006-11-12 23:16:18.0","","Y","561","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=561"
"환경테마투어를 다녀와서..","2006-11-11 22:45:20.0","2006-11-12 00:24:11.0","Y","541","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=541"
"견학 후기","2006-11-10 17:55:34.0","2006-11-10 18:00:32.0","Y","521","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=521"
"[견학후기]마포 자원회수시설 견학후기","2006-11-06 02:10:31.0","","Y","501","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=501"
"마포자원회수시설에 다녀 와서","2006-10-21 07:45:01.0","","Y","481","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=481"
"마포 자원회수시설을 다녀와서","2006-10-20 23:41:36.0","","Y","464","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=464"
"마포자원회수시설을다녀와서..","2006-10-20 21:51:18.0","","Y","463","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=463"
"자원회수시설을 갔다와서","2006-10-20 18:19:04.0","","Y","462","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=462"
"마포 자원 회수시설을 갔다오고.","2006-10-20 17:57:22.0","2006-10-20 20:25:19.0","Y","461","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=461"
"견학후기","2006-10-20 14:04:49.0","","Y","444","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=444"
"서울잠전초 3-2","2006-10-20 13:47:12.0","2006-10-20 13:47:32.0","Y","443","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=443"
"잠전초등학교 3학년2반","2006-10-20 13:44:44.0","2006-10-20 13:45:01.0","Y","442","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=442"
"서울 잠전초 3학년 ","2006-10-20 13:42:22.0","2006-10-20 13:42:33.0","Y","441","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=441"
"우린 이제부터 환경 홍보대사로 활동할거예요.","2006-10-20 08:51:23.0","2006-10-20 08:51:30.0","Y","423","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=423"
"쓰레기산을 보았어요","2006-10-20 08:50:37.0","2006-10-20 08:50:46.0","Y","422","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=422"
"역촌초 5-4 ","2006-10-20 08:49:37.0","2006-10-20 08:49:50.0","Y","421","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=421"
"5-4반의 특별한 하루","2006-09-25 11:44:06.0","2006-09-25 11:44:18.0","Y","402","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=402"
"오늘 다녀온 환경투어 소감...","2006-09-25 11:42:44.0","2006-09-25 11:42:56.0","Y","401","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=401"
"자원회수시설을 둘로보고.","2006-09-24 23:24:46.0","2006-09-24 23:27:05.0","Y","383","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=383"
"난지도 자원회수시설을 둘러보고","2006-09-24 21:53:02.0","2006-09-24 21:56:53.0","Y","382","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=382"
"자원회수시설에다녀와서","2006-09-24 20:50:45.0","","Y","381","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=381"
"재활용을 생각하면서","2006-09-24 13:23:37.0","","Y","361","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=361"
"마포자원회수시설을 보고","2006-09-23 11:44:47.0","2006-09-23 11:47:46.0","Y","341","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=341"
"숙제할때 생각나는 마포자원회수시설이 좋아.","2006-09-22 22:18:08.0","2006-09-22 22:22:28.0","Y","321","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=321"
"쓰레기,지렁이","2006-09-22 17:44:01.0","","Y","301","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=301"
"마포자원회수시설을 다녀와서","2006-09-19 11:53:01.0","","Y","281","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=281"
"월촌초등학교병설유치원 어린이들이 양천 자원회수시설을 다녀와서...","2006-09-15 22:39:34.0","","Y","265","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=265"
"견학","2006-09-07 22:42:07.0","2006-09-08 21:30:11.0","Y","245","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=245"
"현장학습...","2006-09-07 22:08:09.0","","Y","244","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=244"
"아주 좋은 경험이었습니다 ^^","2006-09-07 20:35:23.0","","Y","243","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=243"
"쓰레기가 어떻게 불리되는지알았다","2006-09-07 20:15:49.0","","Y","242","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=242"
"견학 시간 좀늘려주세요!!!","2006-09-07 19:32:32.0","","Y","241","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=241"
"자원의소중함","2006-09-06 10:18:15.0","2006-09-06 10:18:29.0","Y","222","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=222"
"자원의 순환","2006-09-06 10:16:27.0","2006-09-06 10:17:31.0","Y","221","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=221"
"쓰레기의 재탄생 아주 훌륭해요 --8월16일 일기 ","2006-08-31 09:32:11.0","2006-08-31 09:32:28.0","Y","210","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=210"
"에코스쿨관람후기","2006-08-31 09:29:58.0","2006-08-31 09:30:14.0","Y","209","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=209"
"Eco School를 다녀온후 (8.7)","2006-08-31 09:28:04.0","2006-08-31 09:28:11.0","Y","208","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=208"
"자원회수시설을 다녀와서","2006-08-31 09:24:49.0","2006-08-31 09:24:58.0","Y","207","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=207"
"자원회수시설을 다녀와서 ","2006-08-31 09:22:46.0","2006-08-31 09:22:53.0","Y","206","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=206"
"마포자원회수시설을다녀와서","2006-08-31 09:19:54.0","2006-08-31 09:20:03.0","Y","205","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=205"
"서울백석초등학교 4학년 3반","2006-08-31 09:19:06.0","2006-08-31 09:19:18.0","Y","204","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=204"
"자원회수시설을 견학하고","2006-08-31 09:17:50.0","2006-08-31 09:18:02.0","Y","203","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=203"
"자원회수시설을 다녀와서","2006-08-31 09:13:45.0","2006-08-31 09:16:40.0","Y","202","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=202"
"6월15일 서울 오류 초등 학교 관람후기 - 감동적입니다. !! ","2006-08-31 09:11:44.0","2006-08-31 09:15:36.0","Y","201","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=201"
"일본 도야마현의회 의원 방문단","2006-08-19 11:13:57.0","","Y","181","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=181"
"마포자원회수시설을 보고","2006-08-10 19:15:13.0","2006-08-12 18:27:27.0","Y","161","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=161"
"견학후기","2006-07-26 18:37:44.0","","Y","141","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=141"
"인도 방문단 견학 후기","2006-07-24 11:36:04.0","","Y","121","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=121"
"견학후기","2006-05-13 19:42:40.0","","Y","101","https://rrf.seoul.go.kr/board/fccoc631View.do?pageIndex=1&srchCategory=&menuId=fccoc631&subPage=6&menuNm=%EA%B2%AC%ED%95%99%ED%9B%84%EA%B8%B0&srchSj=&seqno=101"